Property Reference Number,Full Property Address,Current Property Exemption Code,Current Prop Exemption Start Date,Analysis Code,Primary Liable party name,Current Rateable Value
177510143220,"3rd Floor, Willis House, Willis Road, Portsmouth, PO1 1AT",RV below minimum for EPR,11-Dec-20,CO,1st Call Property Management Limited,2100
177503396310,"4-8, Guildhall Walk, Portsmouth, PO1 2DD",Liquidation,08-Oct-21,CL,2020 Leisure Limited-In Liquidation,36750
177503396810,"10, Guildhall Walk, Portsmouth, PO1 2DD",Listed Building,05-Sep-15,CL2,A.R.T. Investments Ltd (1964) Ltd,87000
177504993310,"Ground Floor, 120, London Road, Portsmouth, PO2 0NB",Empty Property Rate Non-Industrial,07-Mar-21,CS,Adn Financial Solutions Ltd,23000
177510803330,"Unit 102, Cascades, Portsmouth, Hants, PO1 4RP",Company in Administration,12-Feb-21,CS,Agl Realisations Limited (In Administration),225000
177501615310,"144, Commercial Road, Portsmouth, PO1 1EX",Company in Administration,13-Feb-21,CS,Agl Realisations Limited (In Administration),230000
177501616010,"152, Commercial Road, Portsmouth, PO1 1EX",Company in Administration,14-Feb-21,CS,Agl Realisations Limited (In Administration),144000
177501625910,"Second Floor, 144, Commercial Road, Portsmouth, PO1 1EX",Company in Administration,13-Feb-21,LX,Agl Realisations Limited (In Administration),16500
177511291410,"N3 North Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",RV below minimum for EPR,01-Jan-13,CO,All Saints Church Council,980
177512022410,"S2 South Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",RV below minimum for EPR,01-Oct-15,CO,All Saints Church Council,650
177512022510,"S3 - S4 South Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",RV below minimum for EPR,01-Feb-14,CO,All Saints Church Council,780
177501627710,"S1 South Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",RV below minimum for EPR,11-Feb-17,CO,All Saints Pastoral Centre,480
177590027210,"N1-N2, North Gallery, Commercial Road, Portsmouth, PO1 4BT",RV below minimum for EPR,01-Apr-18,CO,All Saints Pastoral Centre,1525
177510752610,"Units 96 - 97, The Canalside, Gunwharf Quays, Portsmouth, PO1 3FA",Company in Administration,18-May-20,CS,Antler Ltd-In Administration,72500
177500315310,"50-52, Arundel Street, Portsmouth, PO1 1NL",Empty Property Rate Non-Industrial,01-Oct-19,CS,Asiamart Limited,23250
177501618310,"213-215, Commercial Road, Portsmouth, PO1 4BJ",Empty Property Rate Non-Industrial,21-Jul-21,CS,Avail Facilities Ltd,31500
177510585420,"Basement Storage, The Old Treasury, 7, Kings Road, Southsea, Hants, PO5 4DJ",Empty Property Rate Non-Industrial,01-Oct-16,CW3,B Webber Holdings Ltd,0
177506320110,"44-66, Palmerston Road, Southsea, Hants, PO5 3QG",Empty Property Rate Non-Industrial,25-Apr-20,CS,Bankuwait Nominees Limited,300000
177506227010,"90, Osborne Road, Southsea, Hants, PO5 3LW",Empty Property Rate Non-Industrial,07-Aug-21,CS1,Barclays Bank Uk Plc,30000
177511939710,"Advertising Banner, Lamppost 4, Lake Road, Portsmouth, PO1",RV below minimum for EPR,01-Apr-13,CA,Bay Media Ltd,140
177511873110,"Car Park, Fitzherbert Street, Portsmouth, PO1 1EQ",Land,30-Nov-13,CP1,Berinsfield Limited,18250
177503762710,"Eastney Swimming Pool, Swimming Baths, Henderson Road, Southsea, Hants, PO4 9NB",Empty Property Rate Charitable,01-Apr-20,LS6,Bh Live,21750
177509874710,"R11g, North Promenade Building, Gunwharf Quays, Portsmouth, PO1 3TR",Empty Property Rate Non-Industrial,06-Apr-20,CR,Bills Restaurants Ltd,110000
177512329110,"City Wide Taxis, Rear Of 32, The Hard, Portsmouth, PO1 3DT",Empty Property Rate Non-Industrial,03-Sep-19,CO,Bluedrop Limited,5400
1775900732,"Unit 7h, The Pompey Centre, Dickinson Road, Southsea, Hants, PO4 8ER",Empty Property Rate Non-Industrial,20-Dec-20,CW,Box+Iii Portsmouth Ltd,33500
177511421110,"Unit 12, The Pompey Centre, Fratton Way, Southsea, PO4 8FD",Empty Property Rate Non-Industrial,01-Mar-20,CS,Box+Iii Portsmouth Ltd,24750
1775113780100,"64, Goldsmith Avenue, Southsea, Hants, PO4 8FH",Empty Property Rate Non-Industrial,25-Nov-21,CO,Box+Iii Portsmouth Ltd,5200
177506045420,"52, Northern Road, Portsmouth, Hants, PO6 3DP",Empty Property Rate Non-Industrial,09-Nov-21,CO,Braidgrain Ltd,5500
177590123210,"18 - 24, Osborne Road, Southsea, PO5 3LT",RV below minimum for EPR,06-Apr-18,LX,Brassfile Ltd,1000
177504985510,"468, London Road, Portsmouth, PO2 9RN",Empty Property Rate Non-Industrial,30-Jan-21,CG3,Cambridge Garage(Portsmouth) Ltd,114000
177508954210,"Unit 22, Cascades, Portsmouth, PO1 4RJ",Empty Property Rate Non-Industrial,24-Apr-21,CS,Cascades Shopping Centre General Partner Ltd,66000
177508954410,"Unit 24, Cascades, Portsmouth, PO1 4RJ",Empty Property Rate Non-Industrial,25-Mar-21,CS,Cascades Shopping Centre General Partner Ltd,71500
177508956710,"Unit 48a, Cascades, Portsmouth, PO1 4RR",Empty Property Rate Non-Industrial,25-Oct-21,CS,Cascades Shopping Centre General Partner Ltd,24000
