Property Reference Number,Full Property Address,Primary Liable party name,Analysis Code,Account Start Date,Current Rateable Value
177508434210,"14-16, Wayte Street, Portsmouth, PO6 3BS", Portsmouth Trade Union Club Ltd,CL2,06/12/2007,19250
177509949310,"Ground Floor, The Boat Shed Southsea Marina, Fort Cumberland Road, Southsea, Hants, PO4 9RJ",1 Deg West Marine Ltd,CO,11/11/2002,4750
177500056110,"16, Fairway Business Centre, Airport Service Road, Portsmouth, PO3 5NU",1122 Limited,CW,16/03/2020,7000
177502226110,"Unit 4, Terminus Industrial Estate, Durham Street, Portsmouth, PO1 1NR",19 Computing Uk Ltd,IF,25/05/2006,13250
177590131510,"Unit 3 Part 1st Floor, Cosmopolitan House, Airport Service Road, Portsmouth, PO3 5RQ",1st Call Heritage Ltd,CO,01/04/2006,1350
177502163310,"3, Drayton Lane, Portsmouth, PO6 1HG",1st Choice High Level Cleaning & Maintenance Ltd,IF3,12/12/2005,7800
177511720510,"210 - 212, Fratton Road, Fratton, Portsmouth, PO1 5HD",1st Grill Limited,CS,14/03/2018,8900
177503396310,"4-8, Guildhall Walk, Portsmouth, PO1 2DD",2020 Leisure Limited-In Liquidation,CL,10/12/2019,36750
177503398910,"Ground Floor, Oriel House, 21-23, Guildhall Walk, Portsmouth, PO1 2RY",23.5 Degrees Ltd,CS,15/10/2014,43000
177511678310,"Starbucks, Burrfields Road, Portsmouth, PO3 5NA",23.5 Degrees Ltd,CX,15/08/2017,59000
177511949910,"Unit G Central Square, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",23.5 Degrees Ltd,CS,18/02/2013,19750
177504937010,"50, London Road, Portsmouth, PO2 0LN",247 Safeguard Limited,CS,13/02/2020,10750
177512241910,"Unit 3 & 4, Solent 27, Walton Road, Portsmouth, PO6 1SX",2mv Logistics Ltd,CW,08/06/2015,105000
177502226220,"Specialist Vehicle Hire, 3, Durham Street, Portsmouth, PO1 1NA",486 Ltd,CW3,01/04/2010,32000
177501621610,"267, Commercial Road, Portsmouth, PO1 4BP",4pmprint Ltd,CS,18/05/2017,3550
177506307110,"Scout Hut Rear Of, Paignton Avenue, Portsmouth, PO3 6LL",54th Portsmouth Scout Group,LC3,01/04/1990,9200
177503690310,"Scout Hut, Hawthorn Crescent, Portsmouth, PO6 2TL",62nd Portsmouth Scout Group,LC3,01/04/1990,3000
177509944210,"Scoutlands, 20, Evelegh Road, Portsmouth, PO6 1DL",70th Ptmth Boy Scouts Group,LC3,01/04/2003,5800
