Property Reference Number,Full Property Address,Primary Liable party name,Analysis Code,Account Start Date,Current Rateable Value
177511276510,"Unit 4, 15, Anson Road, Southsea, Hants, PO4 8TD",Anson Autos Ltd,IF3,01/02/2008,27000
177512280310,"5, The Nelson Centre, Portfield Road, Portsmouth, P03 5SF",Autonomous Surface Vehicles Limited,CW,21/04/2017,47000
177502873010,"Bjh Windows, Fitzherbert Road, Portsmouth, PO6 1SG",B J H Windows Ltd,IF3,25/02/1991,40750
177511908710,"Advertising Banner, Junction Of Commercial Rd, Stanhope Road, Portsmouth, PO1 1DU",Bay Media Ltd,CA,01/06/2012,140
177511910610,"Advertising Banner, South Side, Hope Street, Portsmouth, PO1 4AN",Bay Media Ltd,CA,01/06/2012,140
177511911720,"Advertising Banner, Lamppost Adj Police Station, Isambard Brunel Road, Portsmouth, PO1 2DG",Bay Media Ltd,CA,04/08/2014,140
177511939510,"Advertising Banner, Lamppost 14 (Northside), Hope Street, Portsmouth, PO1 4AN",Bay Media Ltd,CA,03/12/2012,140
177511944310,"Advertising Banner, Lamppost Adj, 122, Commercial Road, Portsmouth, PO1 1ET",Bay Media Ltd,CA,01/12/2012,140
177590141010,"53-55, Burrfields Road, Portsmouth, PO3 5EB",Blue Jasmine Food Limited,CWW,08/04/2019,49750
177512182010,"Ground Floor Gym, Stanhope Road, Portsmouth, PO1 1DP",Bodyworx360 Health & Fitness Club Ltd,LX,31/08/2021,36250
177512305410,"Office 41, Block A, Port Way, Port Solent, Portsmouth, PO6 4TZ",Building Services And Solutions Southern Limited,CO,01/07/2021,1800
177512433430,"Car Parking Spaces C, Peninsular House, Wharf Road, Portsmouth, PO2 8TA",Cafcass,CP1,01/04/2015,1200
177512309910,"Part 2nd Floor, Building 3000, Lakeside Business Park, Lakeside, Western Road, Portsmouth, PO6 3AA",Capita (Sss) Limited,CO,04/11/2021,94000
177506225310,"66, Osborne Road, Southsea, Hants, PO5 3LN",Care And Relief For The Young,CS,29/10/1999,17750
177508959410,"Ncp, Car Park, Cascades, Portsmouth, PO1 4RS",Cascades Shopping Centre General Partner Ltd,CP,07/07/2005,220000
177510788120,"Nightclub & Premises, Stanhope Road, Portsmouth, PO1 1DP",Cc Stim Uk Tradeco 1 Limited,CL2,17/12/2020,230000
177501614010,"112-114, Commercial Road, Portsmouth, PO1 1EN",Cex Ltd,CS,26/11/2008,76500
177512305310,"Office 40, Block A, Port Way, Port Solent, Portsmouth, PO6 4TZ",City Accountant Portsmouth Limited,CO,01/05/2021,2750
177501626910,"Advertising Rights, Bus Stop (D) 2709 0249, Commercial Road, Portsmouth, PO1 4RG",Clear Channel Holdings Limited,CA,02/08/2010,4200
177501627220,"Advertising Rights, Bus Stop (C) 2709 0250, Commercial Road, Portsmouth, PO1 1EN",Clear Channel Holdings Limited,CA,02/08/2010,3600
177506065210,"8, Wholesale Meat Centre, Norway Road, Portsmouth, PO3 5JY",Concept Foods Ltd,CW,29/10/1999,13500
177512307210,"Office 59, Block A, Port Way, Port Solent, Portsmouth, PO6 4TZ",Conduent Parking Enforcement Solutions Limited,CO+,01/06/2021,7000
177503465810,"28, Hampshire Terrace, Portsmouth, PO1 2QE",Countrywide Plc,CO,01/04/2017,10000
177506967210,"Part Ground Floor, Site 2a, Rodney Road, Southsea, Hants, PO4 8SX",Crown Paints Ltd,IF3,18/07/2005,12750
177512302410,"Office 10, Block A, Port Way, Port Solent, Portsmouth, PO6 4TZ",Denton Property Law Limited,CO,01/12/2021,1975
177505011810,"The News Centre , London Road, Portsmouth, PO2 9SX",Dmg Media Limited,IF,17/10/2020,610000
