Property Reference Number,Full Property Address,Primary Liable party name,Analysis Code,Account Start Date,Current Rateable Value
177511910010,"Advertising Banners, Adj Car Park (North), Commercial Road, Portsmouth, PO1",Bay Media Ltd,CA,01/06/2012,140
177511935010,"Advertising Banner, Lamppost 12, Guildhall Walk, Portsmouth, PO1",Bay Media Ltd,CA,12/06/2012,140
177511935210,"Advertising Banner, Lamppost 8, Guildhall Walk, Portsmouth, PO1",Bay Media Ltd,CA,12/06/2012,140
177511938210,"Advertising Banner, Lamppost 14, Alfred Road, Portsmouth, PO1",Bay Media Ltd,CA,20/11/2012,140
177511938410,"Advertising Banner, Lamppost 5, Lake Road, Portsmouth, PO1",Bay Media Ltd,CA,19/11/2012,140
177511939810,"Advertsing Banner, Lamppost 8, Lake Road, Portsmouth, PO1",Bay Media Ltd,CA,01/11/2012,140
177510838510,"Adv Right 804, Adj Hsbc Bank, Commercial Road, Portsmouth, PO1",British Telecommunications Plc,CA,02/12/2019,2400
177510838710,"Adv Right 808, Adj Next, Commercial Road, Portsmouth, PO1",British Telecommunications Plc,CA,02/12/2019,2400
177510839110,"Adv Rght 802, Adj Via Lattea, Hampshire Terrace, Portsmouth, Hants, PO1",British Telecommunications Plc,CA,02/12/2019,1200
177500191410,"Bus Stop 0083 (South Side)Adj, 175, Allaway Avenue, Portsmouth, ",Clear Channel Holdings Limited,CA,01/04/1995,600
177500191610,"Bus Stop 0125 Adj, 244, Allaway Avenue, Portsmouth, ",Clear Channel Holdings Limited,CA,01/04/1995,600
177500191810,"Bus Stop 0123 (Truro Road) Adj, 334, Allaway Avenue, Portsmouth, ",Clear Channel Holdings Limited,CA,01/04/1995,600
177500192010,"King Richard School, Bus Stop 0270 Opp, 284, Allaway Avenue, Portsmouth, ",Clear Channel Holdings Limited,CA,01/04/1995,600
177500268710,"Bus Stop 0268 (Marconi South), Anchorage Road, Portsmouth, ",Clear Channel Holdings Limited,CA,01/04/1995,450
177500329110,"Bus Stop 0062, Arundel Street, Portsmouth, ",Clear Channel Holdings Limited,CA,01/04/1995,850
177500329610,"Hairdressers Trainin, Bus Stop, Arundel Street, Portsmouth, ",Clear Channel Holdings Limited,CA,01/04/1995,1200
177500543510,"Bus Stop 0272 Opposite, Rees Hall, Bellevue Terrace, Portsmouth, ",Clear Channel Holdings Limited,CA,01/04/1995,850
177501367910,"Bus Shelter 0022, Adjacent Bus Terminal, Clarence Esplanade, Southsea, Hants, PO5",Clear Channel Holdings Limited,CA,01/04/1990,850
177501368110,"Bus Stop C 0261 (Clarence Pier), Clarence Esplanade, Southsea, Hants, PO5",Clear Channel Holdings Limited,CA,01/04/1995,850
177501628410,"Bus Stop , 0021o/S, 217, Commercial Road, Portsmouth, ",Clear Channel Holdings Limited,CA,01/04/1990,3600
177501629210,"Advertising Rights 0063 Opposite, 219-223, Commercial Road, Portsmouth, ",Clear Channel Holdings Limited,CA,01/04/1995,1200
177501719710,"Bus Stop 0180 Adjacent, 117-119, Copnor Road, Portsmouth, ",Clear Channel Holdings Limited,CA,01/04/1995,850
